,dp_id,MJD
113,ADP.2014-09-18T12:12:32.283,54780.20058318
114,ADP.2014-10-06T10:04:36.430,56580.28987716
115,ADP.2014-10-06T10:06:33.593,56580.29946061
116,ADP.2014-10-06T10:06:56.953,56580.27496133
117,ADP.2014-10-07T08:33:39.520,56694.07240696
118,ADP.2014-10-07T08:33:45.357,56772.97520507
119,ADP.2014-10-07T08:33:50.640,56707.10135457
120,ADP.2014-10-01T10:21:32.867,53051.03628635
121,ADP.2014-10-06T10:04:21.023,56583.39084902
122,ADP.2014-10-06T10:04:51.050,56580.29839516
123,ADP.2014-10-06T10:04:53.517,56580.31966391
124,ADP.2014-10-06T10:05:40.000,56580.33672606
125,ADP.2014-10-06T10:06:26.033,56580.33778874
126,ADP.2014-09-16T11:03:44.833,53775.10436667
127,ADP.2014-09-18T12:12:11.637,54780.19493653
128,ADP.2014-09-18T12:13:31.830,54483.08434087
129,ADP.2014-09-18T12:16:49.940,54780.2048236
130,ADP.2014-09-23T11:04:34.457,54878.14467457
131,ADP.2014-09-29T13:27:01.770,52988.19359473
132,ADP.2014-09-17T11:22:18.760,54442.20423216
133,ADP.2014-09-18T12:10:25.287,54780.2076475
134,ADP.2014-09-18T12:16:48.807,54780.2118841
135,ADP.2014-10-01T10:19:22.337,53059.04762929
136,ADP.2014-10-01T10:21:32.573,53032.01371273
137,ADP.2014-10-02T10:02:13.610,53583.42945865
138,ADP.2014-09-23T11:02:20.043,54878.12012132
139,ADP.2014-09-23T11:03:05.703,54878.14643255
140,ADP.2014-09-23T11:06:01.163,54878.12888691
141,ADP.2014-09-29T13:27:17.237,52948.21629087
142,ADP.2014-09-29T13:27:20.400,52987.2151243
143,ADP.2014-10-01T10:20:30.933,53035.01933576
144,ADP.2014-09-29T13:27:12.767,52946.35543737
145,ADP.2014-10-01T10:20:56.407,53046.05402295
146,ADP.2014-10-01T10:21:58.020,53032.01195819
147,ADP.2014-10-01T10:22:42.983,53056.0083172
148,ADP.2014-10-06T10:03:58.493,56580.29732588
149,ADP.2014-10-06T10:04:09.507,56583.38978505
150,ADP.2014-09-18T12:09:55.643,54780.22598819
151,ADP.2014-09-18T12:10:07.263,54780.21893267
152,ADP.2014-09-18T12:11:23.677,54780.2358535
153,ADP.2014-09-18T12:12:51.517,54780.20905649
154,ADP.2014-09-18T12:14:26.290,54780.22458151
155,ADP.2014-09-18T12:17:12.617,54479.11371008
156,ADP.2014-10-07T08:33:51.683,56694.05407294
157,ADP.2014-10-07T08:34:02.140,56707.0907414
158,ADP.2014-10-07T08:34:25.903,56694.08791072
159,ADP.2014-10-07T08:34:32.247,56706.08704753
160,ADP.2014-10-07T08:34:36.580,56707.09286538
161,ADP.2014-10-07T08:34:49.837,56694.05689499
