Station:;rmr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]29;[Avg]29;[Max]29;[data%]29;[Min]26;[Avg]26;[Max]26;[data%]26;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]27;[Avg]27;[Max]27;[data%]27;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2;[Min]28;[Avg]28;[Max]28;[data%] 28
2016-08-24;9.81;13.02;16.40;100.00;0.00;1.59;8.62;100.00;0.00;1.81;8.68;100.00;-51.18;308.82;308.82;100.00;-54.77;305.23;305.23;100.00;0.00;194.00;968.00;100.00;0.00;179.22;851.00;100.00
2016-08-25;7.39;12.03;17.18;100.00;0.00;2.25;6.08;100.00;0.00;2.67;7.82;100.00;-34.48;325.52;325.52;100.00;-36.72;323.28;323.28;100.00;0.00;225.98;811.00;100.00;0.00;210.06;751.10;100.00
2016-08-26;6.72;11.17;14.55;100.00;0.00;2.09;6.53;100.00;0.00;2.39;7.25;100.00;-37.02;322.98;322.98;100.00;-37.15;322.85;322.85;100.00;0.00;134.66;984.00;100.00;0.00;125.42;848.00;100.00
2016-08-27;10.85;12.02;15.39;100.00;0.00;2.01;5.43;100.00;0.00;2.29;6.10;100.00;-90.52;269.48;269.48;100.00;-89.55;270.45;270.45;100.00;0.00;97.42;870.00;100.00;0.00;89.83;558.60;100.00
2016-08-28;8.93;11.78;15.39;100.00;0.00;1.72;5.82;100.00;0.00;1.98;6.61;100.00;-125.56;234.44;234.44;100.00;-126.84;233.16;233.16;100.00;0.00;146.74;1156.00;100.00;0.00;135.43;982.00;100.00
2016-08-29;7.15;11.33;14.98;100.00;0.00;1.69;6.31;100.00;0.00;1.97;6.88;100.00;-38.94;321.06;321.06;100.00;-40.31;319.69;319.69;100.00;0.00;153.20;1046.00;100.00;0.00;142.91;949.00;100.00
2016-08-30;9.04;12.21;16.33;100.00;0.00;1.16;5.29;100.00;0.00;1.31;5.65;100.00;11.26;11.26;11.26;100.00;-169.85;190.15;190.15;100.00;0.00;206.66;815.00;100.00;0.00;192.50;759.50;100.00
2016-08-31;8.17;12.12;17.31;100.00;0.00;2.57;11.58;100.00;0.00;2.94;11.72;100.00;-36.01;323.99;323.99;100.00;-36.43;323.57;323.57;100.00;0.00;226.27;812.00;100.00;0.00;210.88;751.00;100.00
2016-09-01;8.03;11.41;15.73;100.00;0.00;1.80;7.19;100.00;0.00;2.04;7.15;100.00;-113.24;246.76;246.76;100.00;-115.12;244.88;244.88;100.00;0.00;192.40;883.00;100.00;0.00;180.41;792.60;100.00
2016-09-02;5.11;10.50;15.79;100.00;0.00;1.90;6.94;100.00;0.00;2.17;7.88;100.00;-53.52;306.48;306.48;100.00;-57.04;302.96;302.96;100.00;0.00;240.01;865.00;100.00;0.00;225.60;796.90;100.00
2016-09-03;3.33;9.62;16.00;100.00;0.00;1.97;7.29;100.00;0.00;2.32;7.84;100.00;-28.58;331.43;331.43;100.00;-31.52;328.48;328.48;100.00;0.00;246.49;879.00;100.00;0.00;231.42;814.00;100.00
2016-09-04;3.70;9.69;15.02;100.00;0.00;1.88;7.17;100.00;0.00;2.20;7.72;100.00;-50.12;309.88;309.88;100.00;-52.89;307.11;307.11;100.00;0.00;244.78;868.00;100.00;0.00;230.36;800.00;100.00
2016-09-05;3.73;10.75;17.21;100.00;0.00;1.90;5.90;100.00;0.00;2.27;6.14;100.00;23.60;23.60;23.60;100.00;11.18;11.18;11.18;100.00;0.00;249.62;873.00;100.00;0.00;235.55;813.00;100.00
2016-09-06;4.54;12.72;21.43;100.00;0.00;1.32;4.41;100.00;0.00;1.53;4.90;100.00;-112.55;247.45;247.45;100.00;-117.78;242.22;242.22;100.00;0.00;229.50;856.00;100.00;0.00;217.32;792.50;100.00
2016-09-07;7.15;12.00;17.36;100.00;0.00;1.51;6.76;100.00;0.00;1.70;7.96;100.00;-64.55;295.45;295.45;100.00;-68.50;291.50;291.50;100.00;0.00;233.11;866.00;100.00;0.00;219.67;796.10;100.00
2016-09-08;7.66;11.93;17.04;100.00;0.00;1.94;5.55;100.00;0.00;2.28;6.04;100.00;173.44;173.44;173.44;100.00;177.93;177.93;177.93;100.00;0.00;245.42;899.00;100.00;0.00;231.51;809.00;100.00
2016-09-09;8.56;11.93;17.23;100.00;0.00;1.38;5.61;100.00;0.00;1.56;5.63;100.00;-119.66;240.34;240.34;100.00;-119.47;240.53;240.53;100.00;0.00;194.98;931.00;100.00;0.00;182.39;818.00;100.00
2016-09-10;11.14;12.28;13.59;100.00;0.00;1.40;4.61;100.00;0.00;1.56;4.67;100.00;-105.95;254.05;254.05;100.00;-105.78;254.22;254.22;100.00;0.00;58.56;321.70;100.00;0.00;54.42;290.70;100.00
2016-09-11;11.11;12.14;13.99;100.00;0.00;1.16;4.59;100.00;0.00;1.35;5.00;100.00;-149.85;210.15;210.15;100.00;-149.64;210.36;210.36;100.00;0.00;66.44;401.30;100.00;0.00;61.31;364.10;100.00
2016-09-12;8.00;13.02;17.41;100.00;0.00;1.81;7.10;100.00;0.00;2.11;8.11;100.00;-102.22;257.78;257.78;100.00;-102.95;257.06;257.06;100.00;0.00;259.36;903.00;100.00;0.00;242.80;834.00;100.00
2016-09-13;7.09;12.66;18.63;100.00;0.00;2.79;12.98;100.00;0.00;3.21;15.50;100.00;-41.76;318.24;318.24;100.00;-42.63;317.37;317.37;100.00;0.00;252.71;931.00;100.00;0.00;235.36;840.00;100.00
2016-09-14;9.97;12.53;14.48;100.00;0.00;1.47;5.12;100.00;0.00;1.66;5.74;100.00;-95.04;264.96;264.96;100.00;-99.08;260.92;260.92;100.00;0.00;85.23;503.20;100.00;0.00;78.99;414.20;100.00
2016-09-15;7.86;12.42;19.39;100.00;0.00;1.85;7.12;100.00;0.00;2.16;7.61;100.00;-87.59;272.41;272.41;100.00;-84.94;275.06;275.06;100.00;0.00;236.65;1290.00;100.00;0.00;220.76;952.00;100.00
2016-09-16;9.97;12.03;15.46;100.00;0.00;1.58;5.96;100.00;0.00;1.79;6.57;100.00;-128.46;231.54;231.54;100.00;-128.77;231.23;231.23;100.00;0.00;194.16;1212.00;100.00;0.00;179.52;1080.00;100.00
