Station:;cgr;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]TA2;[Avg]TA2;[Max]TA2;[Data%]TA2;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]VV10;[Avg]VV10;[Max]VV10;[Data%]VV10;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]DV10;[Avg]DV10;[Max]DV10;[data%]DV10;[Min]RS;[Avg]RS;[Max]RS;[data%]RS
2016-08-28;7.16;9.31;13.98;100.00;0.00;2.77;9.07;100.00;0.00;2.94;9.02;100.00;-26.64;333.36;333.36;100.00;-12.91;347.09;347.09;100.00;0.00;141.84;1093.00;100.00
2016-08-29;7.07;8.79;12.11;100.00;0.00;2.18;7.76;100.00;0.00;2.49;8.00;100.00;-5.32;354.68;354.68;100.00;8.99;8.99;8.99;100.00;0.00;108.27;1097.00;100.00
2016-08-30;6.73;11.47;17.30;100.00;0.00;1.53;5.72;100.00;0.00;1.85;5.78;100.00;157.33;157.33;157.33;100.00;172.90;172.90;172.90;100.00;0.00;231.88;829.00;100.00
2016-08-31;8.24;12.15;16.94;100.00;0.00;2.70;10.27;100.00;0.00;3.08;10.35;100.00;-3.73;356.27;356.27;100.00;-16.33;343.67;343.67;100.00;0.00;176.57;1171.00;100.00
2016-09-01;7.25;9.42;14.30;100.00;0.00;2.03;7.45;100.00;0.00;2.17;7.82;100.00;-21.70;338.30;338.30;100.00;-6.94;353.07;353.07;100.00;0.00;166.87;1225.00;100.00
2016-09-02;6.59;10.58;15.31;100.00;0.00;2.29;7.47;100.00;0.00;2.58;7.88;100.00;11.78;11.78;11.78;100.00;21.82;21.82;21.82;100.00;0.00;247.24;872.00;100.00
2016-09-03;5.56;8.84;13.58;100.00;0.00;2.37;8.96;100.00;0.00;2.58;9.07;100.00;-9.98;350.02;350.02;100.00;3.26;3.26;3.26;100.00;0.00;253.57;893.00;100.00
2016-09-04;6.17;8.59;12.07;100.00;0.00;2.39;8.57;100.00;0.00;2.64;9.00;100.00;-1.37;358.63;358.63;100.00;13.97;13.97;13.97;100.00;0.00;247.50;901.00;100.00
2016-09-05;5.89;11.09;16.34;100.00;0.00;1.65;5.74;100.00;0.00;1.93;6.02;100.00;147.90;147.90;147.90;100.00;166.06;166.06;166.06;100.00;0.00;260.65;896.00;100.00
2016-09-06;11.60;18.88;24.72;100.00;0.00;1.43;4.23;100.00;0.00;1.76;5.06;100.00;131.04;131.04;131.04;100.00;146.36;146.36;146.36;100.00;0.00;229.87;894.00;100.00
2016-09-07;7.47;10.51;18.44;100.00;0.00;2.57;8.33;100.00;0.00;2.86;8.96;100.00;-125.67;234.33;234.33;100.00;-106.46;253.55;253.55;100.00;0.00;170.09;1220.00;100.00
2016-09-08;8.27;12.69;18.58;100.00;0.00;1.64;6.17;100.00;0.00;1.85;6.31;100.00;174.20;174.20;174.20;100.00;-165.08;194.92;194.92;100.00;0.00;254.64;920.00;100.00
2016-09-09;7.53;11.69;18.06;100.00;0.00;2.01;6.33;100.00;0.00;2.24;6.43;100.00;-84.47;275.53;275.53;100.00;-82.11;277.89;277.89;100.00;0.00;168.64;1082.00;100.00
2016-09-10;8.58;9.41;10.65;100.00;0.00;1.64;5.43;100.00;0.00;1.76;5.37;100.00;-55.17;304.83;304.83;100.00;-43.53;316.47;316.47;100.00;0.00;44.76;267.70;100.00
2016-09-11;8.68;9.61;12.41;100.00;0.00;1.71;6.98;100.00;0.00;1.90;6.84;100.00;-43.73;316.27;316.27;100.00;-32.54;327.47;327.47;100.00;0.00;83.86;735.60;100.00
2016-09-12;7.94;12.09;18.91;100.00;0.00;2.05;8.72;100.00;0.00;2.32;8.62;100.00;20.34;20.34;20.34;100.00;35.29;35.29;35.29;100.00;0.00;264.78;912.00;100.00
2016-09-13;8.54;11.49;17.39;100.00;0.00;3.18;13.11;100.00;0.00;3.52;13.29;100.00;-83.55;276.45;276.45;100.00;-68.68;291.32;291.32;100.00;0.00;202.45;1191.00;100.00
2016-09-14;7.70;9.45;12.27;100.00;0.00;1.67;6.08;100.00;0.00;1.89;6.19;100.00;-60.32;299.68;299.68;100.00;-48.36;311.64;311.64;100.00;0.00;79.95;543.90;100.00
2016-09-15;7.09;10.24;15.45;100.00;0.00;2.08;8.43;100.00;0.00;2.34;8.51;100.00;-25.27;334.73;334.73;100.00;-15.17;344.83;344.83;100.00;0.00;226.91;1270.00;100.00
2016-09-16;7.18;9.07;12.54;100.00;0.00;2.57;7.66;100.00;0.00;3.01;7.90;100.00;-89.41;270.59;270.59;100.00;-94.76;265.24;265.24;100.00;0.00;159.09;1090.00;100.00
2016-09-17;7.75;12.98;17.87;100.00;0.00;1.55;5.84;100.00;0.00;1.77;6.02;100.00;48.79;48.79;48.79;100.00;72.36;72.36;72.36;100.00;0.00;273.95;926.00;100.00
2016-09-18;8.81;13.55;18.88;100.00;0.00;2.52;10.49;100.00;0.00;2.87;10.76;100.00;143.81;143.81;143.81;100.00;161.55;161.55;161.55;100.00;0.00;199.90;1207.00;100.00
2016-09-19;8.35;9.75;13.92;100.00;0.00;2.42;7.02;100.00;0.00;2.71;7.17;100.00;-49.85;310.15;310.15;100.00;-36.36;323.64;323.64;100.00;0.00;121.75;1212.00;100.00
2016-09-20;8.72;9.73;11.57;100.00;0.00;1.82;5.72;100.00;0.00;1.95;5.66;100.00;-50.28;309.73;309.73;100.00;-37.31;322.69;322.69;100.00;0.00;65.52;358.50;100.00
2016-09-21;8.77;9.59;10.84;100.00;0.00;1.89;5.70;100.00;0.00;2.06;5.78;100.00;-53.34;306.66;306.66;100.00;-41.01;319.00;319.00;100.00;0.00;59.72;261.30;100.00
2016-09-22;8.44;9.50;11.61;100.00;0.00;1.73;6.37;100.00;0.00;1.85;6.33;100.00;-52.18;307.82;307.82;100.00;-42.28;317.72;317.72;100.00;0.00;125.27;771.00;100.00
